date,startup,vertical,subvertical,city,investors,round,amount,Date
25/11/2019,paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8300.0,2019-11-25
04/10/2019,dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,373.5,2019-10-04
02/10/2019,udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4855.5,2019-10-02
21/10/2019,theman,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,2019-10-21
05/09/2019,fpl,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.35,2019-09-05
04/09/2019,cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.39,2019-09-04
04/09/2019,digitalf5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.8,2019-09-04
04/09/2019,3rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,41.5,2019-09-04
04/09/2019,75f,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,149.4,2019-09-04
04/09/2019,myelinfoundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.3,2019-09-04
04/09/2019,atomberg,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,83.0,2019-09-04
04/09/2019,goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3735.0,2019-09-04
03/09/2019,vyapar,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.5,2019-09-03
01/08/2019,cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,166.0,2019-08-01
01/08/2019,progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.5,2019-08-01
01/08/2019,alteriacapital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1162.0,2019-08-01
01/08/2019,pine,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,316.06,2019-08-01
12/08/2019,meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1037.5,2019-08-12
13/08/2019,cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,91.3,2019-08-13
13/08/2019,uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,423.3,2019-08-13
23/08/2019,zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,307.1,2019-08-23
23/08/2019,lofoods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.15,2019-08-23
23/08/2019,tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,913.0,2019-08-23
22/08/2019,indwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,124.5,2019-08-22
21/08/2019,hungerbox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.7,2019-08-21
23/08/2019,admitkard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.3,2019-08-23
19/08/2019,mishryreviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019-08-19
19/08/2019,grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,581.0,2019-08-19
27/08/2019,rapidobiketaxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32370.0,2019-08-27
02/07/2019,renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,157.7,2019-07-02
02/07/2019,atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.75,2019-07-02
01/07/2019,wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.2,2019-07-01
03/07/2019,ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.3,2019-07-03
01/07/2019,uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,316.06,2019-07-01
04/07/2019,daalchini,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.15,2019-07-04
10/07/2019,byjus,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1245.0,2019-07-10
11/07/2019,moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,498.0,2019-07-11
10/07/2019,ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.8,2019-07-10
10/07/2019,indusos,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.73,2019-07-10
10/07/2019,healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.75,2019-07-10
09/07/2019,houseofmsasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.3,2019-07-09
08/07/2019,boardinfinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.65,2019-07-08
05/06/2019,nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,423.3,2019-06-05
04/06/2019,bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,83.0,2019-06-04
03/06/2019,availfinance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,74.7,2019-06-03
04/06/2019,bharatpe,Finance,FinTech,New Delhi,Insight Partners,Series B,622.5,2019-06-04
04/06/2019,recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,215.8,2019-06-04
03/06/2019,agara,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,20.75,2019-06-03
06/06/2019,chakrinnovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,215.8,2019-06-06
06/06/2019,pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,125.41,2019-06-06
10/06/2019,bolo,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.57,2019-06-10
10/06/2019,okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,128.65,2019-06-10
06/06/2019,biz2credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,431.6,2019-06-06
08/06/2019,vogoautomotive,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.75,2019-06-08
04/06/2019,leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,28.22,2019-06-04
06/05/2019,olaelectric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,2019-05-06
06/05/2019,saahaszerowaste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.21,2019-05-06
05/05/2019,styledotme,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,2019-05-05
01/05/2019,blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1245.0,2019-05-01
02/05/2019,zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,415.0,2019-05-02
28/05/2019,atherenergy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,423.3,2019-05-28
28/05/2019,freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1162.0,2019-05-28
30/05/2019,glowroad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,95.45,2019-05-30
31/05/2019,bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,46.48,2019-05-31
16/04/2019,kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,373.5,2019-04-16
12/04/2019,medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,141.1,2019-04-12
10/04/2019,kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.57,2019-04-10
13/04/2019,tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.81,2019-04-13
12/04/2019,azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.66,2019-04-12
11/04/2019,setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,29.05,2019-04-11
10/04/2019,toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,52.46,2019-04-10
10/04/2019,craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.28,2019-04-10
10/04/2019,unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.55,2019-04-10
11/04/2019,clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,215.8,2019-04-11
19/04/2019,myhealthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.9,2019-04-19
19/04/2019,krazybee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,119.04,2019-04-19
17/04/2019,shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,41.5,2019-04-17
17/04/2019,increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24.9,2019-04-17
01/02/2019,fleetx,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,2019-02-01
08/02/2019,zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1875.8,2019-02-08
13/02/2019,nanocleanglobal,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.98,2019-02-13
14/02/2018,oyorooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,830.0,2018-02-14
03/01/2019,cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,913.0,2019-01-03
04/01/2019,vyometherapeutics,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,182.6,2019-01-04
04/01/2019,samunnatifinancialintermediationand,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,41.5,2019-01-04
04/12/2018,manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,5.81,2018-12-04
01/12/2018,urbanclap,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,415.0,2018-12-01
02/12/2018,guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.64,2018-12-02
02/12/2018,careeranna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.75,2018-12-02
04/12/2018,nagpurwholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.19,2018-12-04
06/12/2018,shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,16.6,2018-12-06
06/12/2018,buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,29.05,2018-12-06
01/11/2018,godesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.15,2018-11-01
03/11/2018,veritasfinance,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,230.73,2018-11-03
06/11/2018,meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,415.0,2018-11-06
08/11/2018,mobilepremierleague,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.15,2018-11-08
08/11/2018,aandrbonvivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.3,2018-11-08
12/11/2018,blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,8.3,2018-11-12
12/11/2018,milkbasket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.79,2018-11-12
13/11/2018,driveu,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.3,2018-11-13
14/11/2018,cleansecar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4.15,2018-11-14
19/11/2018,automationanywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2490.0,2018-11-19
20/11/2018,healthifyme,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),49.8,2018-11-20
21/11/2018,geniuscorner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,2.31,2018-11-21
22/11/2018,aavishkaarintellecap,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,257.3,2018-11-22
22/11/2018,skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0,2018-11-22
23/11/2018,signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.22,2018-11-23
24/11/2018,engineerai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,244.85,2018-11-24
25/11/2018,incredfinance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,348.6,2018-11-25
25/11/2018,roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.11,2018-11-25
01/10/2018,northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,2018-10-01
02/10/2018,origocommodities,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,91.3,2018-10-02
04/10/2018,groverzampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,68.06,2018-10-04
05/10/2018,droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.9,2018-10-05
11/10/2018,innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,33.2,2018-10-11
12/10/2018,blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,121.84,2018-10-12
12/10/2018,letstransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,99.6,2018-10-12
01/09/2018,netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,290.5,2018-09-01
03/09/2018,udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,1867.5,2018-09-03
03/09/2018,dailyhunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,53.04,2018-09-03
04/09/2018,happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,2018-09-04
05/09/2018,nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1304.76,2018-09-05
05/09/2018,madstreetden,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,2018-09-05
06/09/2018,dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,830.0,2018-09-06
10/09/2018,mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,33.2,2018-09-10
11/09/2018,autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,265.6,2018-09-11
11/09/2018,pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,45.65,2018-09-11
11/09/2018,upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,41.5,2018-09-11
12/09/2018,kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,249.0,2018-09-12
01/08/2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,3.32,2018-08-01
01/08/2018,healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0,2018-08-01
02/08/2018,samosa,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,58.1,2018-08-02
03/08/2018,ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,1.0,2018-08-03
07/08/2018,shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,290.5,2018-08-07
07/08/2018,makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,83.0,2018-08-07
08/08/2018,hanselio,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,33.2,2018-08-08
08/08/2018,metrobikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,101.26,2018-08-08
08/08/2018,phonepe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,547.8,2018-08-08
09/08/2018,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,24.9,2018-08-09
09/08/2018,happyemi,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,8.3,2018-08-09
13/08/2018,inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,33.2,2018-08-13
13/08/2018,observeai,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,66.4,2018-08-13
17/08/2018,eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,48.55,2018-08-17
20/08/2018,rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,39.84,2018-08-20
22/08/2018,piventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,49.8,2018-08-22
22/08/2018,revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,118.44,2018-08-22
26/08/2018,zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,111.22,2018-08-26
26/08/2018,shubhloans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,34.86,2018-08-26
27/08/2018,myupchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,41.5,2018-08-27
28/08/2018,narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,24.9,2018-08-28
01/07/2018,leenaai,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,0.0,2018-07-01
02/07/2018,biryanibykilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,8.3,2018-07-02
04/07/2018,anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,33.2,2018-07-04
05/072018,loantap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,51.88,
06/07/2018,policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,229.91,2018-07-06
09/07/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,3.65,2018-07-09
09/07/2018,groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,9.13,2018-07-09
10/07/2018,avenuegrowth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,3.63,2018-07-10
10/07/2018,inicu,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,0.0,2018-07-10
10/07/2018,kinaracapital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,41.5,2018-07-10
10/07/2018,shop101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,41.5,2018-07-10
11/07/2018,sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,20.75,2018-07-11
12/07/2018,19thmile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,1.49,2018-07-12
12/07/2018,5thvital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,4.15,2018-07-12
13/07/2018,mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,1.45,2018-07-13
17/07/2018,ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,240.7,2018-07-17
17/07/2018,cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,412.51,2018-07-17
